timestamp,temperature,humidity,pressure,final_status,fault_type,confidence,confidence_score,severity,reason,recommendation
2026-09-05 00:00:00+05:30,27.8,90.492836,1003.63446,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 01:00:00+05:30,27.45,91.54769,1003.6291,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 02:00:00+05:30,27.15,92.621506,1003.2265,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 03:00:00+05:30,26.85,93.71114,1003.22174,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 04:00:00+05:30,26.7,93.704346,1003.5182,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 05:00:00+05:30,26.7,94.54189,1003.9164,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 06:00:00+05:30,27.15,92.34747,1004.71967,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 07:00:00+05:30,28.85,84.12935,1005.3425,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 08:00:00+05:30,30.6,75.84088,1005.56805,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 09:00:00+05:30,32.0,62.52632,1005.2899,SENSOR FAULT,HUMIDITY SPIKE,MEDIUM,50.0,MEDIUM,sudden humidity change; HUMIDITY_INCONSISTENCY,Inspect humidity sensor and verify calibration.
2026-09-05 10:00:00+05:30,57.55,57.237797,1005.1985,SENSOR FAULT,TEMPERATURE SPIKE,HIGH,75.0,CRITICAL,Isolation Forest anomaly; sudden temperature change; gradual temperature drift; TEMPERATURE_DIFFERENCE,Inspect temperature sensor and verify calibration.
2026-09-05 11:00:00+05:30,32.65,57.957626,1004.5033,SENSOR FAULT,TEMPERATURE SPIKE,MEDIUM,50.0,CRITICAL,sudden temperature change; TEMPERATURE_INCONSISTENCY,Inspect temperature sensor and verify calibration.
2026-09-05 12:00:00+05:30,30.85,67.96468,1003.8792,SENSOR FAULT,HUMIDITY SPIKE,MEDIUM,50.0,MEDIUM,sudden humidity change; HUMIDITY_INCONSISTENCY,Inspect humidity sensor and verify calibration.
2026-09-05 13:00:00+05:30,30.0,77.56986,1003.1697,SENSOR FAULT,TEMPERATURE DRIFT,MEDIUM,50.0,MEDIUM,Isolation Forest anomaly; gradual temperature drift,Inspect temperature sensor for calibration drift.
2026-09-05 14:00:00+05:30,32.15,59.797398,1002.20593,SENSOR FAULT,HUMIDITY SPIKE,MEDIUM,50.0,MEDIUM,sudden humidity change; HUMIDITY_INCONSISTENCY,Inspect humidity sensor and verify calibration.
2026-09-05 15:00:00+05:30,31.5,67.483444,1001.5992,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 16:00:00+05:30,30.85,70.65901,1001.5895,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 17:00:00+05:30,29.6,77.7425,1001.4714,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
2026-09-05 18:00:00+05:30,28.65,85.36313,1002.1541,NORMAL,NONE,LOW,0.0,NORMAL,All monitoring checks normal.,Continue normal monitoring.
